PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
469,1022648,41306077000,GER-77MO6,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
470,1022649,41306081000,GER-56MO.6,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
471,1022650,41306082000,GER-42M0620M08,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
472,1022658,40AA32320KC,TONER SUPLY SPCR (10/SET),4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
473,1022669,41305516000,SPE-CLW,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
474,1022696,41306022000,CPG-LIFT-28,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
475,1022697,41306024000,GER-TRAY-24-14,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
476,1022699,41306031000,WALL-END-AT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
477,1022755,41306335000,RLR-DRV-TSN,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
478,1022777,4C5978,ARM,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
479,1022824,4C5840,CAM OFFSET AY,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
480,1022881,4C7807,BOARD PTC,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
481,1022889,4C7874,CABLE AY WITH BRACKETS,4006,NON RICOH,4111501,PART,230,PRODUCTION PRINTER,Y,29-05-2019,31-12-9999
482,1022912,4C9192,HTR ROLL SPR KIT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
483,1022981,4F30243000,STACK DELIVERY SLIDER ASS'Y,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
484,1022995,4G30480000,STAPLE UNIT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
485,1023086,4G31777000,CABLE, STAPLE CONNECTI,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
486,1023120,41306295000,LEVER-PUSH-SHTR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
487,1023122,41306332000,PLY/T-6052M,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
488,1023266,428979,SPRING-DETENT-GATE,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
489,1023428,422276,BRUSH - MOTOR (PKG=2),4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
490,1023590,4234A002ABA,TON BL IR4600/5000_20/6000_20,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
491,1023909,41320137000,K-HOLDER-PAD,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
492,1023996,41320280000,ROL-FEED-U,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
493,1024036,41320672000,GUIDE-SB-IN,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
494,1024135,41335023000,FILTER-OZON-TY1,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
495,1024290,425985,SPROCKET/BEARING AY,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
496,1026740,4400682770,K-ROL-PICK/FEED,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
497,1026775,4400690220,BELT-DF-738,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
498,1027385,4400768230,HANGER-WIRE-H,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
499,1028009,4400668420,K-SCRAPER-140,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
500,1028196,4400672420,BLT/T-2GT051Z40,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
501,1028312,4400678840,CLT-30E-CW-30,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
502,1028462,4400536230,BUSH-4-7,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
503,1028904,4400674790,WIRE-CH-060*353,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
504,1029294,4400680850,BUSH-ROL-FEED-R,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
505,1029299,4400681020,ROL-FEED-INT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
506,1030582,4400852220,SCRAPER-H/R-581,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
507,1031107,4400802070,BUSH-6L,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
508,1031108,4400802080,BUSH-8,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
509,1031553,4400746270,K-ROL-SPT-URT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
510,1032146,4401773040,ROL-SPT-RUB-H,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
511,1032412,4400960080,OBSOLETE PWA-F-PNL-101UE,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
512,1033393,4401942630,BALANCER-210-R,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
513,1033528,4401950240,ROLL-GUIDE-210,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
514,1033539,4401951640,BUSH-06*100-M,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
515,1033589,4401949770,PLY/T-2GT27F11,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
516,1033614,4401951870,BUSH-2025*125FM,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
