ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
1286800,402709M-1134454,ATO model 402729M (SP C811DN),PC_05,4111101,220,PAGE PRINTER COLOUR 40-59 PPM,MACHINE,COLOUR PRINTER
1286801,402340M-1134456,ATO model 402360M (P7535n),PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1286802,402806M-1134458,SP4121,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1286803,402981M-1134460,ATO model 403995M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286804,414578M,ATO model 414688M (MP7000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286805,414582M,ATO model 414685M (MP8000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286806,243112M-1134580,ATO model 243215M (DX4640PD),DD_H_A3,4111101,410,DIGITAL DUP A3 PRESS ROLLER DUPLEX,MACHINE,DIGITAL DUPLICATOR
1286807,414509M-1134582,ATO model 414619M (MP5000AD),BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
1286808,402806M-1134584,SP4121,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1286809,413237M-1134586,ATO model 413257M (MP6500SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286810,402806M-1134588,SP4121,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1286811,414576M,ATO model 414596M (MP6000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286812,414580M,ATO model 414690M (MP7000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286813,414584M,ATO model 414694M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286814,414448M-1134759,NRG MP2565B,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286815,406134M-1134781,ATO model 406235M (SP C221sf),MF_T3,4111101,220,MFP A4 LASER 20-29 CPM,MACHINE,COLOUR PRINTER
1286816,402802M-1134783,SP4111,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1286817,413961M-1140689,ATO model 413981 (NRG MPC6000),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1286818,413175M-1140707,ATO model 413195M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286819,413962M-1140737,ATO model 413982 (NRG MPC7500),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1286820,402953M-1140745,ATO model 402973M (SP 8200DN),PB_05,4111101,210,PAGE PRINTER B&W CUT-SHEET 40-59 PPM,MACHINE,B/W PRINTER
